popn,year,spawners
Cascade River,2013,316
Cascade River,2012,495
Cascade River,2011,269
Cascade River,2010,337
Cascade River,2009,343
Cascade River,2008,289
Cascade River,2007,228
Cascade River,2006,485
Cascade River,2005,424
Cascade River,2004,387
Cascade River,2003,304
Cascade River,2002,346
Cascade River,2001,625
Cascade River,2000,278
Cascade River,1999,88
Cascade River,1998,329
Cascade River,1997,309
Cascade River,1996,213
Cascade River,1995,230
Cascade River,1994,177
Cascade River,1993,173
Cascade River,1992,208
Cascade River,1991,138
Cascade River,1990,273
Cascade River,1989,220
Cascade River,1988,137
Cascade River,1987,204
Cascade River,1986,383
Cascade River,1985,102
Cascade River,1984,118
Cascade River,1983,146
Cascade River,1982,198
Cascade River,1981,295
Cedar River,2013,1934
Cedar River,2012,1128
Cedar River,2011,857
Cedar River,2010,715
Cedar River,2009,744
Cedar River,2008,1530
Cedar River,2007,2223
Cedar River,2006,1538
Cedar River,2005,866
Cedar River,2004,1274
Cedar River,2003,841
Cedar River,2002,726
Cedar River,2001,996
Cedar River,2000,142
Cedar River,1999,494
Cedar River,1998,605
Cedar River,1997,371
Cedar River,1996,435
Cedar River,1995,960
Cedar River,1994,663
Cedar River,1993,253
Cedar River,1992,736
Cedar River,1991,523
Cedar River,1990,529
Cedar River,1989,559
Cedar River,1988,593
Cedar River,1987,1559
Cedar River,1986,978
Cedar River,1985,841
Cedar River,1984,906
Cedar River,1983,855
Cedar River,1982,786
Cedar River,1981,669
Cedar River,1980,1392
Cedar River,1979,1268
Cedar River,1978,967
Cedar River,1977,689
Cedar River,1976,485
Cedar River,1975,657
Cedar River,1974,590
Cedar River,1973,1036
Cedar River,1972,451
Cedar River,1971,505
Cedar River,1970,1746
Cedar River,1969,493
Cedar River,1968,1451
Cedar River,1967,1352
Cedar River,1966,1884
Cedar River,1965,1047
Dungeness River,2013,278
Dungeness River,2012,614
Dungeness River,2011,665
Dungeness River,2010,457
Dungeness River,2009,220
Dungeness River,2008,229
Dungeness River,2007,403
Dungeness River,2006,1543
Dungeness River,2005,1077
Dungeness River,2004,1014
Dungeness River,2003,640
Dungeness River,2002,633
Dungeness River,2001,453
Dungeness River,2000,218
Dungeness River,1999,75
Dungeness River,1998,110
Dungeness River,1997,50
Dungeness River,1996,183
Dungeness River,1995,163
Dungeness River,1994,65
Dungeness River,1993,43
Dungeness River,1992,153
Dungeness River,1991,163
Dungeness River,1990,310
Dungeness River,1989,88
Dungeness River,1988,335
Dungeness River,1987,100
Dungeness River,1986,238
Elwha River,2013,3642
Elwha River,2012,958
Elwha River,2011,895
Elwha River,2010,564
Elwha River,2009,928
Elwha River,2008,527
Elwha River,2007,428
Elwha River,2006,483
Elwha River,2005,748
Elwha River,2004,928
Elwha River,2003,471
Elwha River,2002,888
Elwha River,2001,665
Elwha River,2000,726
Elwha River,1999,929
Elwha River,1998,724
Elwha River,1997,1578
Elwha River,1996,374
Elwha River,1995,540
Elwha River,1994,164
Elwha River,1993,636
Elwha River,1992,485
Elwha River,1991,1474
Elwha River,1990,1655
Elwha River,1989,3059
Elwha River,1988,5311
Elwha River,1987,1672
Elwha River,1986,886
Green River,2014,2890
Green River,2013,2149
Green River,2012,3179
Green River,2011,1067
Green River,2010,2273
Green River,2009,701
Green River,2008,6571
Green River,2007,4313
Green River,2006,6322
Green River,2005,2619
Green River,2004,8324
Green River,2003,5899
Green River,2002,8086
Green River,2001,6603
Green River,2000,4863
