year,J,K,L,JKL,SRSS
1976,16,15,40,71,20475
1977,18,16,46,80,38770
1978,18,16,16,50,41006
1979,19,16,17,52,7539
1980,19,16,19,54,5460
1981,19,16,47,82,13115
1982,19,15,45,79,12367
1983,19,14,43,76,9517
1984,17,14,43,74,6511
1985,18,14,45,77,25207
1986,17,16,48,81,31722
1987,18,17,49,84,28835
1988,19,18,48,85,29495
1989,18,17,50,85,12955
1990,18,17,53,88,17315
1991,20,17,55,92,6623
1992,19,16,56,91,21391
1993,21,17,59,97,20397
1994,20,19,57,96,3120
1995,22,18,58,98,1105
1996,22,19,56,97,4207
1997,21,19,52,92,33855
1998,22,18,49,89,9854
1999,20,17,48,85,3296
2000,19,16,47,82,33822
2001,20,17,41,78,171958
2002,20,18,41,79,75025
2003,22,19,41,82,70609
2004,22,20,41,83,70742
2005,23,21,44,88,26028
2006,24,21,44,89,22530
2007,25,19,42,86,22484
2008,25,19,41,85,50146
2009,26,19,40,85,49667
2010,28,19,39,86,94203
2011,26,19,42,87,59342
2012,25,19,40,84,66366
2013,26,19,37,82,35031
2014,25,19,34,78,79167
2015,27,19,35,81,104873
2016,29,19,35,83,62050
2017,24,18,35,77,27357
